date,commodity,price
01-01-2018,Gram,58.35981335
02-01-2018,Gram,58.4364406
03-01-2018,Gram,58.52352183
04-01-2018,Gram,58.44862175
05-01-2018,Gram,58.51737671
06-01-2018,Gram,58.5422502
07-01-2018,Gram,58.56354849
08-01-2018,Gram,58.4439443
09-01-2018,Gram,58.54576615
10-01-2018,Gram,58.50185108
11-01-2018,Gram,58.52943033
12-01-2018,Gram,58.60400923
13-01-2018,Gram,58.56940683
14-01-2018,Gram,58.64420013
15-01-2018,Gram,58.61389706
16-01-2018,Gram,58.73312209
17-01-2018,Gram,58.67957934
18-01-2018,Gram,58.76432931
19-01-2018,Gram,58.68868958
20-01-2018,Gram,58.83962748
21-01-2018,Gram,58.80277852
22-01-2018,Gram,58.83421127
23-01-2018,Gram,58.73619968
24-01-2018,Gram,58.7954632
25-01-2018,Gram,58.78936246
26-01-2018,Gram,58.83691156
27-01-2018,Gram,58.83941211
28-01-2018,Gram,58.77600794
29-01-2018,Gram,58.88450989
30-01-2018,Gram,58.87975597
31-01-2018,Gram,58.92768685
01-02-2018,Gram,58.93942187
02-02-2018,Gram,58.96436128
03-02-2018,Gram,58.99828225
04-02-2018,Gram,59.09134776
05-02-2018,Gram,59.05337643
06-02-2018,Gram,59.1250269
07-02-2018,Gram,59.09580595
08-02-2018,Gram,59.07277517
09-02-2018,Gram,59.12966453
10-02-2018,Gram,59.03920811
11-02-2018,Gram,59.1106337
12-02-2018,Gram,59.17687386
13-02-2018,Gram,59.18671711
14-02-2018,Gram,59.13648345
15-02-2018,Gram,59.11481094
16-02-2018,Gram,59.2696622
17-02-2018,Gram,59.17496307
18-02-2018,Gram,59.25024369
19-02-2018,Gram,59.29594008
20-02-2018,Gram,59.24829511
21-02-2018,Gram,59.33124323
22-02-2018,Gram,59.31332524
23-02-2018,Gram,59.28234751
24-02-2018,Gram,59.36118086
25-02-2018,Gram,59.34085289
26-02-2018,Gram,59.37961464
27-02-2018,Gram,59.37439395
28-02-2018,Gram,59.36693941
01-03-2018,Gram,59.41405826
02-03-2018,Gram,59.44887855
03-03-2018,Gram,59.57688892
04-03-2018,Gram,59.49723318
05-03-2018,Gram,59.5440406
06-03-2018,Gram,59.50712291
07-03-2018,Gram,59.53234318
08-03-2018,Gram,59.53330328
09-03-2018,Gram,59.52346906
10-03-2018,Gram,59.57889523
11-03-2018,Gram,59.62125622
12-03-2018,Gram,59.52047179
13-03-2018,Gram,59.59456954
14-03-2018,Gram,59.67153868
15-03-2018,Gram,59.65231394
16-03-2018,Gram,59.79675468
17-03-2018,Gram,59.64706093
18-03-2018,Gram,59.6918195
19-03-2018,Gram,59.75861092
20-03-2018,Gram,59.69678046
21-03-2018,Gram,59.79035276
22-03-2018,Gram,59.77886844
23-03-2018,Gram,59.81836941
24-03-2018,Gram,59.75595259
25-03-2018,Gram,59.81311498
26-03-2018,Gram,59.82134927
27-03-2018,Gram,59.77936805
28-03-2018,Gram,59.83758262
29-03-2018,Gram,59.81669408
30-03-2018,Gram,59.92528744
31-03-2018,Gram,59.94171881
01-04-2018,Gram,59.89726079
02-04-2018,Gram,59.90450806
03-04-2018,Gram,59.84825108
04-04-2018,Gram,59.99193084
05-04-2018,Gram,60.00206742
06-04-2018,Gram,59.9138082
07-04-2018,Gram,59.90208601
08-04-2018,Gram,60.00605047
09-04-2018,Gram,60.01478155
10-04-2018,Gram,60.04015065
