date,commodity,location,rainfall_mm,soil_quality,price_per_kg
2018-01-01,gram,Jaipur,19.75,Good,55.94
2018-01-01,soyabean,Jaipur,35.59,Average,58.22
2018-01-01,wheat,Pune,40.49,Average,26.11
2018-01-02,tomato,Hyderabad,21.27,Average,38.57
2018-01-02,wheat,Jaipur,8.69,Excellent,19.78
2018-01-02,tomato,Indore,2.76,Excellent,33.41
2018-01-02,rice,Pune,26.57,Good,33.72
2018-01-03,potato,Jaipur,18.73,Average,19.18
2018-01-03,gram,Nagpur,2.25,Good,50.91
2018-01-03,tur,Bhopal,44.88,Excellent,89.99
2018-01-03,gram,Bhopal,36.66,Average,72.75
2018-01-03,urad,Hyderabad,23.54,Excellent,70.12
2018-01-03,tomato,Indore,15.98,Excellent,31.25
2018-01-04,potato,Kanpur,41.28,Average,14.45
2018-01-04,tomato,Nagpur,29.42,Average,38.27
2018-01-04,rice,Jaipur,14.84,Average,42.34
2018-01-05,gram,Lucknow,26.86,Average,58.91
2018-01-05,urad,Lucknow,15.05,Excellent,80.61
2018-01-06,soyabean,Hyderabad,28.23,Average,59.0
2018-01-06,potato,Indore,22.8,Average,11.59
2018-01-06,soyabean,Lucknow,12.98,Good,48.68
2018-01-07,tur,Patna,41.03,Average,90.83
2018-01-07,onion,Bhopal,32.02,Good,20.88
2018-01-07,onion,Bhopal,16.92,Good,16.06
2018-01-07,urad,Nagpur,39.99,Good,69.8
2018-01-08,onion,Patna,3.88,Good,22.64
2018-01-08,tur,Indore,44.84,Good,70.02
2018-01-08,onion,Nagpur,48.56,Good,23.64
2018-01-09,tur,Pune,16.74,Good,54.5
2018-01-09,soyabean,Lucknow,11.38,Average,40.02
2018-01-09,potato,Jaipur,37.01,Good,11.23
2018-01-09,onion,Jaipur,24.5,Average,24.08
2018-01-10,tomato,Nagpur,14.19,Excellent,38.71
2018-01-10,potato,Indore,11.82,Good,14.94
2018-01-10,rice,Jaipur,42.51,Good,34.63
2018-01-10,gram,Ahmedabad,39.16,Good,77.02
2018-01-11,moong,Indore,13.22,Average,80.93
