Date,District,Commodity,Variety,Soil_Quality,Latitude,Longitude,Price_per_kg
01-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,29.99
02-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,29.99
03-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,29.99
04-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,29.99
05-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,29.99
06-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,29.99
07-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,29.99
08-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,36.23
09-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,36.23
10-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,36.23
11-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,36.23
12-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,36.23
13-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,36.23
14-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,36.23
15-01-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,23.92
16-01-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,23.92
17-01-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,23.92
18-01-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,23.92
19-01-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,23.92
20-01-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,23.92
21-01-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,23.92
22-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,25.82
23-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,25.82
24-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,25.82
25-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,25.82
26-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,25.82
27-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,25.82
28-01-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,25.82
29-01-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,39.88
30-01-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,39.88
31-01-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,39.88
01-02-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,39.88
02-02-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,39.88
03-02-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,39.88
04-02-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,39.88
05-02-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,36.14
06-02-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,36.14
07-02-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,36.14
08-02-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,36.14
09-02-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,36.14
10-02-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,36.14
11-02-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,36.14
12-02-2022,Ahmednagar,Moong,Basic,Good,19.093412,74.746855,15.68
13-02-2022,Ahmednagar,Moong,Basic,Good,19.093412,74.746855,15.68
14-02-2022,Ahmednagar,Moong,Basic,Good,19.093412,74.746855,15.68
15-02-2022,Ahmednagar,Moong,Basic,Good,19.093412,74.746855,15.68
16-02-2022,Ahmednagar,Moong,Basic,Good,19.093412,74.746855,15.68
17-02-2022,Ahmednagar,Moong,Basic,Good,19.093412,74.746855,15.68
18-02-2022,Ahmednagar,Moong,Basic,Good,19.093412,74.746855,15.68
19-02-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,40.99
20-02-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,40.99
21-02-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,40.99
22-02-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,40.99
23-02-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,40.99
24-02-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,40.99
25-02-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,40.99
26-02-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,25.16
27-02-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,25.16
28-02-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,25.16
01-03-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,25.16
02-03-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,25.16
03-03-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,25.16
04-03-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,25.16
05-03-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,46.47
06-03-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,46.47
07-03-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,46.47
08-03-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,46.47
09-03-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,46.47
10-03-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,46.47
11-03-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,46.47
12-03-2022,Ahmednagar,Moong,Basic,Good,19.093412,74.746855,46.46
13-03-2022,Ahmednagar,Moong,Basic,Good,19.093412,74.746855,46.46
14-03-2022,Ahmednagar,Moong,Basic,Good,19.093412,74.746855,46.46
15-03-2022,Ahmednagar,Moong,Basic,Good,19.093412,74.746855,46.46
16-03-2022,Ahmednagar,Moong,Basic,Good,19.093412,74.746855,46.46
17-03-2022,Ahmednagar,Moong,Basic,Good,19.093412,74.746855,46.46
18-03-2022,Ahmednagar,Moong,Basic,Good,19.093412,74.746855,46.46
19-03-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,22.15
20-03-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,22.15
21-03-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,22.15
22-03-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,22.15
23-03-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,22.15
24-03-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,22.15
25-03-2022,Ahmednagar,Moong,Basic,Average,19.093412,74.746855,22.15
26-03-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,15.06
27-03-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,15.06
28-03-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,15.06
29-03-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,15.06
30-03-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,15.06
31-03-2022,Ahmednagar,Moong,Basic,Poor,19.093412,74.746855,15.06
